,product,market,mean,std,cv,adf_pvalue,trend_strength,season_strength,acf_lag1,acf_season,pacf_lag1,acf_sum5,cluster,pc1,pc2,differentiation
21,GUM,National Urban Hypermarkets,7154.516461538462,382.3713727370894,0.05344475406446499,0.008101127421564205,0.533948979210488,0.3822351122009791,0.8971765404544311,-0.39164109460328744,0.9111949238990315,2.4460694496724784,2,0.6712933091816142,-2.294284125676459,0
22,GUM,National Urban Minimarkets,3467.0416923076923,307.5021192079883,0.08869293954273515,0.7542065828674058,0.8818902220505492,0.2069505654656247,0.9438824262653935,0.24179738605734713,0.9586305891757904,3.94941967090396,0,2.27693468230085,-0.78151893308117,1
23,GUM,National Urban Supermarkets,3790.97923076923,304.93482114680927,0.08043695377485219,0.5126690475147376,0.8686710946479553,0.33407566659385085,0.9007924232812479,0.35436266047403703,0.9148673048950174,3.646267758935655,0,1.5309891693671571,-0.7242035878080177,1
24,IMPULSE FANCY,Discounters,882.146153846154,130.83611408567003,0.1483156884097097,0.6717778212143751,0.6801062291559038,0.8673986185907283,0.6143536693777851,0.44783939060224887,0.6239529454618128,0.8593609696512852,1,-3.4256804023785103,-0.3782178352915622,2
25,IMPULSE FANCY,National Urban Hypermarkets,2564.814,960.2017382264651,0.3743748038752382,0.6510348103917676,0.4435974614519487,0.9389321484170868,0.5886029945804597,0.5598020632056101,0.5977999163707796,1.2789373507040558,1,-5.181191906422349,0.7549684455784716,2
26,IMPULSE FANCY,National Urban Minimarkets,803.8626153846154,113.06588195987942,0.14065324073539856,0.6871162173117162,0.8276467780533072,0.8718930016348664,0.767770845185342,0.4188073642563605,0.7797672646413633,1.8475182317220955,1,-1.361185207973841,0.5577621956203673,2
27,IMPULSE FANCY,National Urban Supermarkets,978.4852307692307,171.42037380832693,0.17518953625244374,0.8551006783739248,0.7665899289594408,0.8979731092822858,0.6740082003104778,0.512697779082838,0.6845395784403289,0.929621089409067,1,-2.7120490139170674,0.44528173128650755,2
28,MEDICINAL,Discounters,362.12369230769224,28.931951928686843,0.07989521962596058,0.2584625325076678,0.8911279779700666,0.5408085647927144,0.9160934528008747,0.11259129972894676,0.9304074130008885,3.619113102078444,0,1.3229396711934958,-0.12388101943661088,1
29,MEDICINAL,National Urban Hypermarkets,689.2221538461538,90.85393216057554,0.131820968977233,0.02875082129383543,0.953799622213927,0.810789648951293,0.9270513153979163,0.04368470961533393,0.9415364922010088,3.43783206153196,0,0.8575418578332464,1.2558266180431399,0
30,MEDICINAL,National Urban Minimarkets,337.358923076923,61.4292488386812,0.18208870326715615,0.451876519085902,0.8468680230506136,0.2885338554977404,0.9145017999307841,-0.1630301973243657,0.9287908905547025,3.751683303932865,0,1.3874460680689957,0.028519200768437346,1
31,MEDICINAL,National Urban Supermarkets,392.9636923076923,29.382441959933253,0.074771391187272,0.22704938010886128,0.8111393620548779,0.3551533797909842,0.8993934058505116,0.09805693888429506,0.913446427816926,3.2811818098352745,0,1.3512557242228989,-0.9758953521470265,1
32,MINTS,Discounters,753.7856923076924,68.21009410200111,0.09049003556060867,0.9161149697150466,0.9388846410660213,0.7317030848250846,0.899889600734646,0.29020650471138065,0.9139503757461246,3.4470061533952547,0,0.824728993257515,0.5736111728698745,1
33,MINTS,National Urban Hypermarkets,1749.316769230769,192.33760587755987,0.10995012982247744,0.4940334420965493,0.958857197106508,0.5946323465273954,0.9464905457847946,0.37040269831927336,0.9612794605626822,4.169438334516512,0,1.609343439387276,0.6318205823908865,1
34,MINTS,National Urban Minimarkets,629.5278461538461,95.06803931087177,0.15101482784550047,0.904058975963151,0.8508562393012582,0.2961858053291442,0.9161386727311348,0.2914084942532639,0.9304533394925592,3.43736323043972,0,1.502261282052993,-0.2134654236428283,1
35,MINTS,National Urban Supermarkets,895.8313846153846,70.64471832869309,0.07885939200380172,0.6047318454617048,0.8441104905752164,0.4982947591683573,0.8510694408978187,0.20361705946257297,0.864367400911847,3.062192212167531,0,0.5846546072398638,-0.5859449791139074,1
36,TABLETS,Discounters,9393.461384615386,697.6066090186434,0.0742651276728708,0.9984243041102997,0.8726737875970707,0.7755270082685418,0.7295197982876981,0.3692425043728779,0.7409185451359434,2.155245928254944,1,-1.252147175886426,-0.16076584348628062,2
37,TABLETS,National Urban Hypermarkets,26426.598,2276.012318358443,0.08612581605693032,0.48548019672411474,0.9457704959864575,0.7744518803765407,0.8603418002724519,0.25247751392166273,0.8737846409017089,3.1341617583476284,0,0.33016500040000846,0.5672231391744026,2
38,TABLETS,National Urban Minimarkets,6466.512000000001,560.5721040324563,0.08668848121405423,0.8825501190499843,0.9569051096235904,0.7662683397675422,0.8680287684933573,0.31128661590415607,0.881591718001066,3.1227773498280507,0,0.45711008411266035,0.6193903850240214,1
39,TABLETS,National Urban Supermarkets,10468.684153846154,958.7235549040132,0.09158013947261766,0.366774324400157,0.9263930852274841,0.7795964832393807,0.8141192370523361,0.3833462670045642,0.826839850131279,3.2123684592447255,0,-0.2553169721804764,0.43545835341897937,2
40,TAKE HOME LOOSE KONFETY,Discounters,4975.955230769231,177.9047100460989,0.035752875939480004,0.001278397365879346,0.5721550399019368,0.687598768108588,0.7100009457138609,0.15202098400646366,0.7210947104906399,1.286451743573371,2,-1.8814363246868941,-2.038086550630534,0
41,TAKE HOME LOOSE KONFETY,National Urban Hypermarkets,9875.667384615384,569.0267080184948,0.05761906369031241,0.5155604296583927,0.7821887681365515,0.6831348996176663,0.7191695351667841,0.1871457168134915,0.7304065591537651,2.336267252290084,2,-1.336179050645579,-0.9330490174156919,1
42,TAKE HOME LOOSE KONFETY,National Urban Minimarkets,2657.095846153846,326.92342866340806,0.12303787578330329,0.6925860839501929,0.9490149835918277,0.6885203190201068,0.8998995132391537,0.32386175973797476,0.9139604431335155,3.542221640353782,0,0.8316832613643026,0.8117677676115294,2
43,TAKE HOME LOOSE KONFETY,National Urban Supermarkets,4887.715230769231,220.49484352040196,0.04511204788125522,0.00509123125535665,0.6370778532617981,0.6829877086138787,0.716166321134936,0.3082122229569276,0.7273564199026693,1.561126152445441,2,-1.678018028334272,-1.672507355511098,0
